,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
88,new norfolk,51,AU,1603601386,47,-42.78,147.06,60.01,1.99
89,kapaa,1,US,1603601239,74,22.08,-159.32,80.6,6.93
90,sabha,0,LY,1603601386,49,27.04,14.43,61.34,8.19
91,khatanga,100,RU,1603601386,95,71.97,102.5,7.97,13.71
92,gracanica,90,BA,1603601386,100,44.7,18.31,55.0,1.12
93,mineiros,42,BR,1603601200,90,-17.57,-52.55,69.31,6.69
94,saskylakh,100,RU,1603601387,94,71.92,114.08,11.61,18.03
95,anzio,5,IT,1603601387,82,41.49,12.62,55.4,4.7
96,bonthe,97,SL,1603601387,86,7.53,-12.51,76.59,4.72
97,torbay,90,CA,1603601387,100,47.67,-52.73,51.01,16.11
98,margate,100,GB,1603601387,88,51.38,1.39,51.01,1.99
99,sao filipe,100,CV,1603601387,73,14.9,-24.5,80.47,9.8
100,dano,2,BF,1603601387,36,11.15,-3.07,74.19,2.24
101,oudtshoorn,90,ZA,1603601387,100,-33.59,22.2,60.8,6.93
102,tokur,95,RU,1603601388,86,53.13,132.9,34.34,6.69
103,saldanha,1,ZA,1603601388,72,-33.01,17.94,60.8,1.12
104,wakkanai,75,JP,1603601388,71,45.41,141.67,50.0,18.34
105,mount isa,8,AU,1603601279,28,-20.73,139.5,86.0,8.05
106,aykhal,0,RU,1603601388,78,66.0,111.5,8.6,8.95
107,port alfred,1,ZA,1603601388,83,-33.59,26.89,67.86,12.66
108,namibe,73,AO,1603601388,82,-15.2,12.15,67.44,2.77
109,hermitage,40,US,1603601236,82,41.23,-80.45,37.99,4.81
110,vaitape,99,PF,1603601389,74,-16.52,-151.75,80.51,8.12
111,saint-francois,0,FR,1603601389,100,46.42,3.91,41.0,2.24
112,san carlos de bariloche,75,AR,1603601287,85,-41.15,-71.31,41.0,14.99
113,angoram,94,PG,1603601389,79,-4.06,144.07,84.56,4.32
114,daru,87,PG,1603601389,72,-9.08,143.21,83.5,9.48
115,pacifica,90,US,1603601249,87,37.61,-122.49,60.01,5.82
116,santa cruz del sur,100,CU,1603601389,85,20.71,-78.0,77.92,5.1
117,aksarka,2,RU,1603601389,95,66.56,67.8,10.35,6.17
118,bluff,97,NZ,1603601389,93,-46.6,168.33,53.01,1.99
119,sobolevo,95,RU,1603601390,93,54.43,31.9,45.93,8.48
120,oranjemund,87,NA,1603601391,91,-28.55,16.43,59.11,12.37
121,alofi,96,NU,1603601390,83,-19.06,-169.92,77.0,19.46
122,san roque,0,ES,1603601391,87,36.21,-5.38,60.8,12.75
123,kaitangata,100,NZ,1603601391,87,-46.28,169.85,55.0,15.01
124,mar del plata,90,AR,1603601130,100,-38.0,-57.56,59.0,6.93
125,mahebourg,75,MU,1603601391,78,-20.41,57.7,73.4,17.22
126,balikpapan,20,ID,1603601391,70,-1.27,116.83,87.8,4.7
127,longyearbyen,75,SJ,1603601317,85,78.22,15.64,21.2,4.7
128,mayo,90,US,1603601392,62,38.89,-76.51,59.0,6.93
129,kruisfontein,7,ZA,1603601392,90,-34.0,24.73,63.0,1.01
130,kearney,90,US,1603601392,86,40.7,-99.08,32.0,12.75
131,misratah,35,LY,1603601392,76,32.38,15.09,70.47,9.22
132,guerrero negro,1,MX,1603601168,86,27.98,-114.06,65.93,13.51
133,oistins,20,BB,1603601392,74,13.07,-59.53,82.4,23.04
134,thompson,90,CA,1603601392,92,55.74,-97.86,21.2,5.82
135,pergamino,64,AR,1603601286,95,-33.89,-60.57,68.0,1.99
136,vao,63,NC,1603601393,82,-22.67,167.48,73.38,18.54
137,boa vista,0,BR,1603601393,66,2.82,-60.67,84.2,4.7
138,nabire,86,ID,1603601393,62,-3.37,135.48,86.4,4.76
139,sao joao da barra,100,BR,1603601393,93,-21.64,-41.05,72.28,12.01
140,tuatapere,100,NZ,1603601393,93,-46.13,167.68,53.01,1.99
141,willowmore,0,ZA,1603601393,65,-33.29,23.49,67.28,3.51
142,vardo,98,NO,1603601393,74,70.37,31.11,39.25,17.16
143,hasaki,20,JP,1603601393,34,35.73,140.83,73.0,10.29
144,kilindoni,57,TZ,1603601393,74,-7.91,39.67,80.29,11.43
145,iqaluit,75,CA,1603601393,73,63.75,-68.51,19.4,2.24
146,batticaloa,100,LK,1603601394,56,7.71,81.69,87.4,4.27
147,koulikoro,81,ML,1603601394,19,14.0,-7.75,74.43,7.76
148,bose,0,IT,1603601394,83,45.46,8.01,53.01,4.0
149,grand-lahou,20,CI,1603601394,86,5.14,-5.02,77.07,6.71
150,hami,0,CN,1603601394,37,42.8,93.45,54.18,2.01
151,muros,100,ES,1603601394,84,42.78,-9.06,59.0,8.99
152,ponta pora,0,BR,1603601394,84,-22.54,-55.73,70.2,4.43
153,malanje,94,AO,1603601394,97,-9.54,16.34,65.5,2.73
154,iralaya,100,HN,1603601395,94,15.0,-83.23,76.21,3.58
155,nuuk,100,GL,1603601395,73,64.18,-51.72,26.6,9.17
156,constantine,40,DZ,1603601395,93,36.37,6.61,46.4,1.41
157,hailey,75,US,1603601395,59,43.52,-114.32,33.8,16.11
158,broome,1,US,1603601395,86,42.25,-75.83,37.0,4.7
159,norman wells,40,CA,1603601395,84,65.28,-126.83,8.6,2.24
160,hay river,40,CA,1603601395,92,60.82,-115.8,17.6,3.36
161,imaculada,41,BR,1603601395,94,-7.39,-37.51,64.36,5.08
162,hanzhong,4,CN,1603601395,47,33.07,107.03,70.79,1.32
163,ilulissat,2,GL,1603601170,52,69.22,-51.1,17.6,10.29
164,harlingen,75,US,1603601290,94,26.19,-97.7,68.0,5.82
165,kampot,40,KH,1603601396,74,10.62,104.18,86.0,6.93
166,high level,5,CA,1603601396,79,58.52,-117.14,19.4,5.14
167,litovel,0,CZ,1603601396,99,49.7,17.08,51.01,1.74
168,znamenka,100,RU,1603601396,94,52.42,41.43,52.83,9.31
169,nikolskoye,75,RU,1603601396,93,59.7,30.79,39.2,4.47
170,pochutla,64,MX,1603601396,90,15.74,-96.47,78.01,3.78
171,nampula,40,MZ,1603601396,78,-15.12,39.27,73.4,3.36
172,puerto lempira,100,HN,1603601396,94,15.27,-83.77,75.87,7.56
173,auki,18,SB,1603601396,71,-8.77,160.7,84.85,3.62
